Timestamp,Site ID,Title,Link,Details
2026-06-15T10:22:31.616052,mgu_results,"VII Semester B.Arch (2022 Admission Regular/2019, 2020, 2021 Admissions Supplementary) Degree Examination November 2025 – PRN Wise Result",https://pareeksha.mgu.ac.in/Pareeksha/index.php/Public/PareekshaResultView_ctrl/index/3/,
2026-06-15T10:22:32.169630,mgu_results,"VII Semester B.Arch (2022 Admission Regular/2019, 2020, 2021 Admissions Supplementary) Degree Examination November 2025 – Result Notification",https://dsdc.mgu.ac.in/oldresult/result_pdf/12_06_2026_4878.pdf,
2026-06-17T04:50:10.856459,ugc_net_notices,Public Notice regarding the release of Admit Card for the UGC-NET June 2026 examination,https://cdnbbsr.s3waas.gov.in/s301eee509ee2f68dc6014898c309e86bf/uploads/2026/06/202606172040939335.pdf,title: Public Notice regarding the release of Admit Card for the UGC-NET June 2026 examination; date: 2026-06-17; examination_session: June 2026; important_dates: Scanned PDF - Details could not be extracted automatically.; admit_card_announcement: Public Notice regarding the release of Admit Card for the UGC-NET June 2026 examination; summary: Public Notice regarding the release of Admit Card for the UGC-NET June 2026 examination; pdf_url: https://cdnbbsr.s3waas.gov.in/s301eee509ee2f68dc6014898c309e86bf/uploads/2026/06/202606172040939335.pdf; notice_url: https://ugcnet.nta.nic.in/
2026-06-17T13:47:02.774577,hse_kerala,"NCERT - CIET മുഖേന SWAYAM പ്ലാറ്റ്ഫോമിൽ XI, XII ക്ലാസുകളിലെ വിദ്യാർത്ഥികൾക്കായി നടത്തുന്ന ഓൺലൈൻ കോഴ്‌സുകൾ – വിവരം പ്രചരിപ്പിക്കുന്നത് സംബന്ധിച്ച്.",https://www.hseportal.kerala.gov.in/hse/portal/icp/dow/6a3288cfab8f2fc1ab0d7083,
2026-06-17T13:47:06.798177,hse_kerala,KPSC - SERVICE VERIFICATION - ALAPPUZHA - LAB ASSISTANT DATED 09/06/2026,https://www.hseportal.kerala.gov.in/hse/portal/icp/dow/6a32812838c44741ec09da47,
2026-06-17T13:47:12.211121,hse_kerala,KPSC SERVICE VERIFICATION - HSST JUNIOR,https://www.hseportal.kerala.gov.in/hse/portal/icp/dow/6a327ac01c6fa84e970f2354,
2026-06-18T06:32:40.934228,ugc_net_notices,Public Notice regarding opening of Portal for Submitting Scribe Details by the PwDPwBD Candidates of UGC-NET June 2026 exam,https://cdnbbsr.s3waas.gov.in/s301eee509ee2f68dc6014898c309e86bf/uploads/2026/06/20260618603677570.pdf,title: Public Notice regarding opening of Portal for Submitting Scribe Details by the PwDPwBD Candidates of UGC-NET June 2026 exam; date: 2026-06-18; examination_session: June 2026; important_dates: Scanned PDF - Details could not be extracted automatically.; summary: Public Notice regarding opening of Portal for Submitting Scribe Details by the PwDPwBD Candidates of UGC-NET June 2026 exam; pdf_url: https://cdnbbsr.s3waas.gov.in/s301eee509ee2f68dc6014898c309e86bf/uploads/2026/06/20260618603677570.pdf; notice_url: https://ugcnet.nta.nic.in/
2026-06-18T11:02:49.852022,hse_kerala,അധ്യാപക ശാക്തീക രണ പരിപാടിയിൽ പങ്കെടുക്കുന്ന അധ്യാപകരെ വിടുതൽ ചെയ്യുന്നതു സംബന്ധിച്ച്.,https://www.hseportal.kerala.gov.in/hse/portal/icp/dow/6a33b49cabc9e7d7750b9ff4,
2026-06-18T14:24:58.452097,hse_kerala,REVALUATION RESULT WITH 10% OR ABOVE - FIRST YEAR IMP 2026,https://www.hseportal.kerala.gov.in/hse/portal/icp/dow/6a33eb110df8be5e5906a107,
2026-06-18T14:25:01.782045,hse_kerala,REVALUATION CHANGE MARKS RESULT - FIRST YEAR IMP MARCH 2026,https://www.hseportal.kerala.gov.in/hse/portal/icp/dow/6a33ea0a8864cb1c3e0ccca6,
